matricule,Mois,quantite
2549,2024-03,99.00999999999999
2550,2023-06,1075.58
2550,2023-07,935.52
2550,2023-08,1248.35
2550,2023-09,1255.92
2550,2023-10,1392.45
2550,2024-01,1188.91
2550,2024-02,1395.46
2550,2024-03,546.61
2558,2023-06,284.34
2558,2023-07,367.33
2558,2023-08,321.56
2558,2023-09,284.94
2558,2023-10,329.88
2558,2024-01,321.96
2558,2024-02,317.61
2558,2024-03,123.16
2559,2023-06,870.03
2559,2023-07,976.32
2559,2023-08,1209.07
2559,2023-09,1067.51
2559,2023-10,1119.89
2559,2024-01,1005.29
2559,2024-02,1283.64
2559,2024-03,459.96
2602,2023-06,172.26999999999998
2602,2023-07,306.51
2602,2023-08,273.66
2602,2023-09,386.43
2602,2023-10,278.40999999999997
2602,2023-12,32.48
2602,2024-01,201.96
2602,2024-02,256.02
2602,2024-03,73.86
2834,2023-06,219.39
2834,2023-07,342.95
2834,2023-08,299.0
2834,2023-09,302.75
2834,2023-10,232.08
2834,2023-12,8.32
6125,2023-12,103.76
6125,2024-01,401.57
6125,2024-02,997.61
6125,2024-03,157.23
817356,2023-06,67.72
817356,2023-07,67.72
817356,2023-08,67.72
817356,2023-09,67.72
817356,2023-10,67.72
817356,2024-01,40.0
817356,2024-02,67.72
817356,2024-03,27.72
817359,2023-06,103.27
817359,2023-08,120.92
817359,2023-09,60.46
817359,2023-10,47.86
817359,2024-01,106.30000000000001
817359,2024-02,262.98
817367,2023-06,106.93
817367,2023-07,106.93
817367,2023-08,106.93
817367,2023-09,106.92999999999999
817367,2023-10,106.93
817367,2024-01,14.26
817367,2024-02,106.93
817367,2024-03,93.47
817369,2023-06,72.38
817369,2023-07,132.24
817369,2023-08,180.05
817369,2023-09,138.86
817369,2023-10,148.3
817369,2024-01,224.48
817369,2024-02,221.31
817369,2024-03,154.2
817371,2023-06,177.23
817371,2023-07,232.07999999999998
817371,2023-08,251.87
817371,2023-09,120.4
817371,2023-10,184.17
817371,2023-12,60.59
817371,2024-01,173.06
817371,2024-02,173.07
817371,2024-03,63.37
817372,2023-06,151.14000000000001
817372,2023-07,156.17
817372,2023-08,40.3
817372,2024-01,171.28
817372,2024-02,221.64999999999998
817372,2024-03,60.45
817374,2023-06,51.879999999999995
817374,2023-07,51.879999999999995
817374,2023-08,51.879999999999995
817374,2023-09,51.480000000000004
817374,2023-10,51.480000000000004
817374,2023-12,24.16
817374,2024-01,24.16
817374,2024-02,51.879999999999995
817374,2024-03,51.879999999999995
817397,2023-06,106.92
817397,2023-07,106.92
817397,2023-08,106.92
817397,2023-09,106.92000000000002
817397,2023-10,106.92
817397,2024-01,87.12
817397,2024-02,106.92
817397,2024-03,39.6
837706,2023-08,25.19
837706,2023-09,95.72
837706,2024-02,35.26
837708,2023-06,182.16
837708,2023-07,294.63
837708,2023-08,325.54
837708,2023-09,195.04
837708,2023-10,269.3
837708,2024-01,295.83
837708,2024-02,158.4
837708,2024-03,148.11
837709,2023-06,221.66
837709,2023-07,156.17000000000002
837709,2023-08,83.62
837709,2023-09,237.76999999999998
837709,2023-10,191.93
837709,2024-01,142.07
837709,2024-02,237.79000000000002
837709,2024-03,165.24
837710,2023-06,268.94
837710,2023-07,252.63
837710,2023-08,249.47
837710,2023-09,244.91
837710,2023-10,162.36
837710,2023-12,34.01
837710,2024-01,198.64
837710,2024-02,203.52
837710,2024-03,68.03
