matricule;date;quantite;fournisseur;typePaiement;note;station
2544;15/06/2023 11:34;125.94;0;1407040610;3;94
2834;15/06/2023 11:13;15.85;0;1407046036;0;122
1139;15/06/2023 16:10;347.61;0;1407023587;3;94
837710;15/06/2023 16:13;31.75;0;1407058655;4;84
2537;15/06/2023 15:19;40.3;0;1407040611;3;95
2394;15/06/2023 14:43;151.13;0;1407020802;3;94
2374;15/06/2023 14:24;23.76;0;1407022474;0;40
2532;15/06/2023 17:58;40.82;0;1407026665;4;98
817356;15/06/2023 18:48;23.76;0;1407004738;0;93
2515;16/06/2023 07:28;153.65;0;1407004707;3;7
1234;16/06/2023 10:27;120.91;0;1407004727;3;124
817372;16/06/2023 09:27;100.76;0;1407022915;3;94
2507;16/06/2023 12:30;39.6;0;1407004592;0;100
294;16/06/2023 11:33;70.53;0;1407020803;3;105
837709;16/06/2023 10:42;40.3;0;1407022917;3;94
1889;16/06/2023 15:51;34.01;0;1407025486;4;94
2550;16/06/2023 15:31;146.1;0;1407045629;3;93
2522;16/06/2023 15:11;56.24;0;1407009157;0;102
2530;16/06/2023 14:19;37.23;0;1407004596;0;99
2558;16/06/2023 17:06;37.62;0;1407004595;0;93
837708;16/06/2023 17:01;39.6;0;1407062403;0;94
2487;16/06/2023 15:22;40.79;0;1407022475;0;82
2544;17/06/2023 13:34;100.76;0;1407040610;3;94
932;17/06/2023 13:15;34.47;0;1407022663;4;2
817397;17/06/2023 10:26;23.76;0;1407004720;0;96
2394;17/06/2023 15:12;151.13;0;1407020802;3;94
2559;17/06/2023 14:34;159.7;0;1407004726;3;94
2537;17/06/2023 14:27;41.81;0;1407040611;3;95
2476;17/06/2023 13:50;39.23;0;1407022662;4;90
2602;17/06/2023 20:20;34.85;0;1407004594;0;87
2530;19/06/2023 09:55;28.91;0;1407004596;0;99
230;19/06/2023 09:31;73.55;0;1407018303;3;13
2515;19/06/2023 09:11;167.76;0;1407004707;3;94
2834;19/06/2023 08:14;8.71;0;1407046036;0;24
929;19/06/2023 06:44;70.53;0;1407004714;3;13
817371;18/06/2023 20:47;57.62;0;1407021295;0;100
837710;18/06/2023 14:21;30.39;0;1407058655;4;11
2834;18/06/2023 14:03;27.72;0;1407046036;0;14
2539;19/06/2023 12:07;26.34;0;1407018026;0;94
